Št.	Beseda 1	Beseda 2	Ali sta besedi protipomenki? [MŠ1]	Ali sta besedi protipomenki? [MJ]	Ali sta besedi protipomenki? [MŠ2]	Ali sta besedi sopomenki? [MS]	Ali sta besedi protipomenki? [TM]	Ali sta besedi protipomenki? [TVK]	SKUPAJ	ENOTNOST	Glavni problem	Morebitni dodatni problem	
364	dostopna	nedostopna	d	d	d	g	d	d	dddgdd		lema		
365	dostopnost	nedostopnost	d	d	d	d	d	d	dddddd	je protipomenka			
366	dostopnost	nepristopnost	n	d	g	d	g	d	ndgdgd		ne	kontekst	
367	dostopnost	nedosegljivost	d	d	d	d	d	d	dddddd	je protipomenka			
368	dotekanje	izlivanje	n	d	d	g	g	d	nddggd		kontekst		
369	dotekanje	iztekanje	d	d	d	d	d	d	dddddd	je protipomenka			
370	dotičen	irelevanten	d	n	n	g	g	g	dnnggg		kontekst		
371	dotičen	neznaten	g	n	n	n	g	g	gnnngg		kontekst		
372	doumljiv	nedoumljiv	d	d	d	d	d	d	dddddd	je protipomenka			
373	dovoljen	nedovoljen	d	d	d	d	d	d	dddddd	je protipomenka			
374	dovoljeno	nedovoljeno	d	d	d	d	d	d	dddddd	je protipomenka			
375	dovzeten	nedovzeten	d	d	d	d	d	d	dddddd	je protipomenka			
376	dovzeten	neobčutljiv	d	d	d	d	d	d	dddddd	je protipomenka			
377	dovzetnost	imunost	d	d	d	g	g	d	dddggd		prevzeto	kontekst	
378	dovzetnost	nedovzetnost	d	d	d	d	d	d	dddddd	je protipomenka			
379	dovzetnost	odpornost	d	d	d	d	d	d	dddddd	je protipomenka			
380	drag	cenen	d	g	g	d	g	d	dggdgd		stop	kontekst	
381	drag	poceni	d	d	d	d	d	d	dddddd	je protipomenka			
382	dragocen	poceni	n	g	g	g	g	d	nggggd		stop	kontekst	
383	dremavica	nemirnost	n	d	n	g	g	d	ndnggd		ne	kontekst	
384	dremavica	nespečnost	d	g	n	d	d	d	dgnddd		ne	kontekst	
385	droben	debel	d	d	g	g	d	g	ddggdg		večpom	drugo	
386	drug	enak	n	d	n	g	d	d	ndngdd		kontekst		
387	družaben	asocialen	g	d	d	d	d	d	gddddd		prevzeto	ne	
388	družaben	nedružaben	d	d	d	d	d	d	dddddd	je protipomenka			
389	družaben	nesocialen	g	d	d	d	d	d	gddddd		ne	prevzeto	
390	družaben	odljuden	d	d	d	d	g	d	ddddgd		zaz		
391	družabnost	nedružabnost	d	d	d	d	d	d	dddddd	je protipomenka			
392	družabnost	nepriljudnost	d	d	d	d	d	d	dddddd	je protipomenka			
393	družabnost	odljudnost	d	d	g	d	g	d	ddgdgd		zaz		
394	državljan	inozemec	g	d	g	d	g	d	gdgdgd		prevzeto	drugo	
395	državljan	tujec	d	d	g	d	d	d	ddgddd		drugo		
396	drzen	bojazljiv	d	d	g	d	d	d	ddgddd		kontekst		
397	drzen	boječ	d	d	d	d	d	d	dddddd	je protipomenka			
398	drzen	mevžast	g	d	d	g	d	d	gddgdd		zaz		
399	drzen	strahopeten	d	d	d	d	d	d	dddddd	je protipomenka			
400	drzen	strašljiv	n	n	n	n	n	d	nnnnnd		NI		
401	drzen	šlevast	g	d	n	g	g	d	gdnggd		zaz		
402	drznost	bojazljivost	d	d	d	d	d	d	dddddd	je protipomenka			
403	drznost	strahopetnost	d	d	d	d	d	d	dddddd	je protipomenka			
404	drznost	boječnost	d	d	n	d	d	d	ddnddd		/		
405	drznost	plašljivost	d	d	g	d	d	d	ddgddd		/		
406	drznost	plašnost	d	d	d	d	d	d	dddddd	je protipomenka			
407	duhovnik	laik	d	d	d	d	d	d	dddddd	je protipomenka			
408	duševen	fizičen	d	d	d	d	d	d	dddddd	je protipomenka			
409	dvig	upad	d	d	d	d	d	d	dddddd	je protipomenka			
410	dvigniti	spustiti	d	d	d	d	d	d	dddddd	je protipomenka			
411	dvojen	enojen	g	g	g	g	g	d	gggggd		kontekst	stop	
412	dvoličen	odkrit	d	d	d	d	d	d	dddddd	je protipomenka			
413	dvoličnost	iskrenost	d	d	g	d	d	d	ddgddd		kontekst		
414	dvoličnost	odkritosrčnost	d	d	n	d	d	d	ddnddd		kontekst		
415	dvom	prepričanost	d	d	d	d	d	d	dddddd	je protipomenka			
416	dvomljiv	neizpodbiten	d	d	n	d	d	d	ddnddd		ne	stop	
417	dvomljiv	nesporen	d	d	d	d	d	d	dddddd	je protipomenka			
418	dvoumen	nedvoumen	d	d	d	d	g	d	ddddgd		ne		
419	dvoumno	nedvoumno	d	d	d	d	g	d	ddddgd		ne		
420	efikasnost	neučinkovitost	g	g	d	g	g	d	ggdggd		ne	zaz	
421	egoizem	nesebičnost	d	d	d	d	d	d	dddddd	je protipomenka			
422	eksaktnost	nenatančnost	d	d	d	d	g	d	ddddgd		prevzeto	ne	
423	eksaktnost	netočnost	d	d	n	d	g	d	ddndgd		prevzeto	ne	
424	eksces	zmernost	d	d	d	d	g	g	ddddgg		prevzeto	stop	
425	eksistenca	neobstoj	d	d	g	d	d	d	ddgddd		prevzeto	ne	
426	ekskluziven	eksoteričen	g	d	g	g	g	d	gdgggd		kontekst		
427	eksoteričen	ezoteričen	d	d	g	d	d	d	ddgddd		/		
428	eksoteričen	poseben	g	n	g	g	g	d	gngggd		kontekst		
429	eksoteričen	zaupen	g	g	g	g	g	d	gggggd		kontekst		
430	eksperten	nestrokoven	d	d	d	d	d	d	dddddd	je protipomenka			
431	eksport	import	d	d	d	d	d	d	dddddd	je protipomenka			
432	eksport	uvoz	g	d	g	d	d	d	gdgddd		prevzeto		
433	elastičnost	neelastičnost	d	d	d	d	d	d	dddddd	je protipomenka			
434	elastičnost	neprožnost	d	d	d	d	d	d	dddddd	je protipomenka			
435	elastičnost	togost	d	d	d	d	d	d	dddddd	je protipomenka			
436	eleganca	neokusnost	d	n	g	d	g	d	dngdgd		ne	večpom	
437	eleganca	neelegantnost	d	d	g	g	d	d	ddggdd		tvorjeno	ne	
438	eleganten	neeleganten	d	d	d	d	d	d	dddddd	je protipomenka			
439	eleganten	neskladen	n	n	n	n	n	d	nnnnnd		gp	kontekst	
440	eleganten	neuglajen	d	n	d	g	g	d	dndggd		ne	kontekst	
441	emocionalnost	neemocionalnost	d	d	d	d	d	d	dddddd	je protipomenka			
442	emocionalnost	nečustvenost	g	d	d	d	d	d	gddddd		tvorjeno	ne	
443	enak	neenak	d	d	d	d	d	d	dddddd	je protipomenka			
444	enak	drugačen	d	d	d	d	d	d	dddddd	je protipomenka			
445	enako	neenako	d	d	d	d	d	d	dddddd	je protipomenka			
446	enakomerno	neenakomerno	d	d	d	d	d	d	dddddd	je protipomenka			
447	enakost	razlika	d	d	n	g	d	d	ddngdd		kontekst		
448	enakost	različnost	d	d	d	d	d	d	dddddd	je protipomenka			
449	enakost	neenakopravnost	d	n	n	d	g	d	dnndgd		ne	kontekst	
450	enakost	neenakost	d	d	d	d	d	d	dddddd	je protipomenka			
451	endogen	eksogen	d	d	d	d	d	d	dddddd	je protipomenka			
452	enoboštvo	mnogoboštvo	d	d	d	d	d	d	dddddd	je protipomenka			
453	enoboštvo	politeizem	g	d	d	d	d	d	gddddd		prevzeto		
454	enojen	mnogokraten	d	d	g	d	d	d	ddgddd		kontekst		
455	enostaven	zahteven	d	d	d	d	d	d	dddddd	je protipomenka			
456	enostaven	težaven	d	d	d	d	d	d	dddddd	je protipomenka			
457	enostaven	težek	g	d	d	d	d	d	gddddd		večpom		
458	enostaven	trd	g	n	n	g	n	n	gnngnn		kontekst		
459	enostaven	sestavljen	d	d	d	d	d	d	dddddd	je protipomenka			
460	enostaven	kompleksen	d	d	d	d	d	d	dddddd	je protipomenka			
461	enostavnost	kompleksnost	d	d	d	d	d	d	dddddd	je protipomenka			
462	enostavnost	zapletenost	d	d	d	d	d	d	dddddd	je protipomenka			
463	enostranski	mnogostranski	d	d	d	d	d	d	dddddd	je protipomenka			
464	enostranski	multilateralen	d	d	d	g	g	d	dddggd		prevzeto		
465	enostranski	večstranski	d	d	d	d	d	d	dddddd	je protipomenka			
466	enoten	neenoten	d	d	d	d	d	d	dddddd	je protipomenka			
467	enoten	mnogoličen	g	d	n	d	g	d	gdndgd		kontekst		
468	enotnost	neenotnost	d	d	d	d	d	d	dddddd	je protipomenka			
469	entuziastičen	hladen	d	g	n	g	g	d	dgnggd		kontekst	večpom	
470	etično	neetično	d	d	d	d	d	d	dddddd	je protipomenka			
471	evidenten	neočiten	d	d	d	d	d	d	dddddd	je protipomenka			
472	evkariont	prokariont	d	g	g	d	g	d	dggdgd		kvazi		
473	evolucija	propadanje	d	n	n	g	g	d	dnnggd		kontekst		
474	fant	hčerka	n	n	n	n	g	g	nnnngg		spol		
475	fant	hčerkica	n	n	n	n	g	g	nnnngg		spol	zaz	
476	fant	hči	n	n	n	n	g	g	nnnngg		spol		
477	fantastičen	verjeten	d	g	d	n	g	d	dgdngd		večpom	kontekst	
478	fantastičen	mogoč	d	n	n	n	g	d	dnnngd		večpom	stop	
479	favna	flora	d	g	d	g	g	d	dgdggd		kvazi		
480	favna	rastlinstvo	d	g	g	g	g	d	dggggd		prevzeto	kvazi	
481	favna	vegetacija	d	g	d	g	g	d	dgdggd		prevzeto	kvazi	
482	feminilen	neženski	g	d	d	d	d	d	gddddd		ne 		
483	finančne	nefinančne	d	d	d	d	g	d	ddddgd		lema		
484	finančni	nefinančni	d	d	d	g	d	d	dddgdd		ne 		
485	finiš	pričetek	g	d	d	g	d	d	gddgdd		prevzeto	kontekst	
486	finiš	začetek	g	d	d	g	d	d	gddgdd		prevzeto		
487	fizičen	duhoven	d	d	d	d	g	d	ddddgd		večpom		
488	fizičen	netelesen	d	d	d	d	d	d	dddddd	je protipomenka			
489	fizikalen	duševen	g	d	n	g	g	d	gdnggd		kvazi		
490	fleksibilnost	nepopustljivost	d	d	n	g	g	d	ddnggd		ne	kontekst	
491	fleksibilnost	neupogljivost	d	d	d	d	d	d	dddddd	je protipomenka			
492	fleksibilnost	okorelost	d	g	d	g	g	d	dgdggd		kontekst		
493	fleksibilnost	togost	d	d	d	d	g	d	ddddgd		kontekst		
494	fleksibilnost	neukrotljivost	d	n	n	g	n	d	dnngnd		ne	kontekst	
495	fleksibilnost	podivjanost	d	n	n	g	n	g	dnngng		kontekst		
496	flora	zoocenoza	g	g	g	g	g	d	gggggd		zaz	kvazi	
497	formalen	neformalen	d	d	d	d	d	d	dddddd	je protipomenka			
498	formalno	neformalno	d	d	d	d	d	d	dddddd	je protipomenka			
499	formalnost	neformalnost	d	d	d	d	d	d	dddddd	je protipomenka			
500	galantnost	grobijanstvo	d	n	d	d	g	d	dnddgd		prevzeto	kontekst	
501	galantnost	neuglajenost	d	d	d	d	d	d	dddddd	je protipomenka			
502	galantnost	nevljudnost	d	n	n	d	g	d	dnndgd		ne	kontekst	
503	generalen	določen	d	d	d	d	d	d	dddddd	je protipomenka			
504	generalen	poseben	d	d	n	d	g	d	ddndgd		kontekst		
505	generalen	specifičen	d	d	d	d	d	d	dddddd	je protipomenka			
506	generalka	specialka	n	n	n	g	g	d	nnnggd		večpom	kontekst	
507	geocentričen	heliocentričen	d	d	g	g	g	d	ddgggd		kvazi		
508	gibanje	imobilnost	d	d	d	g	d	d	dddgdd		prevzeto	kontekst	
509	gibanje	mirnost	d	d	n	d	g	d	ddndgd		večpom		
510	gibanje	negibnost	d	d	d	d	d	d	dddddd	je protipomenka			
511	gibati	biti	n	n	n	n	n	n	nnnnnn	ni protipomenka			
512	gibati	ostati	d	n	n	n	g	g	dnnngg		povrat	kontekst	
513	gibljivost	nepremakljivost	d	d	g	d	d	d	ddgddd		ne	kontekst	
514	gibljivost	nepremičnost	d	d	d	d	d	d	dddddd	je protipomenka			
515	glasen	nem	d	d	n	n	d	d	ddnndd		stop	kontekst	
516	glaven	sekundaren	d	d	d	g	g	d	dddggd		kontekst		
517	glede	neglede	d	d	d	d	d	d	dddddd	je protipomenka			
518	globina	plitvost	d	d	d	g	d	d	dddgdd		večpom		
519	gor	navzdol	n	d	d	g	d	d	nddgdd		zaz		
520	gorljiv	negorljiv	d	d	d	d	d	d	dddddd	je protipomenka			
521	gorljiv	nezgorljiv	d	n	g	g	d	d	dnggdd		ne		
522	gospodarske	negospodarske	d	d	d	g	d	d	dddgdd		lema		
523	gostitelj	zajedalec	d	d	g	d	g	d	ddgdgd		večpom	kontekst	
524	gostitelj	zajedavec	d	d	d	d	g	d	ddddgd		večpom	kontekst	
525	gostoljubnost	negostoljubnost	d	d	d	g	d	d	dddgdd		ne		
526	gostota	distribucija	d	n	n	g	g	g	dnnggg		prevzeto	kontekst	
527	gostota	razpršenost	d	g	g	g	g	d	dggggd		kontekst		
528	gotov	dvomljiv	d	d	d	d	d	d	dddddd	je protipomenka			
529	gotov	negotov	d	d	d	d	d	d	dddddd	je protipomenka			
530	gotov	nezanesljiv	d	n	d	d	g	d	dnddgd		ne	večpom	
531	gotovih	negotovih	d	d	d	d	g	d	ddddgd		lema		
532	gotovo	negotovo	d	d	d	d	d	d	dddddd	je protipomenka			
533	gotovost	negotovost	d	d	d	d	d	d	dddddd	je protipomenka			
534	gotovost	dvom	d	d	d	d	d	d	dddddd	je protipomenka			
535	gotovostjo	negotovostjo	d	d	d	d	g	d	ddddgd		lema		
536	gracioznost	neprijaznost	n	n	n	g	n	d	nnngnd		ne	kontekst	
537	grd	lep	d	d	d	d	d	d	dddddd	je protipomenka			
538	grenek	sladek	d	d	d	g	g	d	dddggd		kvazi		
539	hardver	softver	d	g	d	d	g	d	dgddgd		kvazi		
540	hardver	software	g	g	d	g	g	g	ggdggg		prevzeto	kvazi	
541	hardver	programje	d	g	n	g	g	d	dgnggd		prevzeto	kvazi	
542	hčerka	sin	n	n	d	d	g	d	nnddgd		spol		
543	hčerka	deček	n	n	n	n	g	g	nnnngg		spol	kontekst	
544	hčerka	fantek	n	n	n	n	g	g	nnnngg		spol	kontekst	
545	hčerka	fantič	n	n	n	n	g	g	nnnngg		spol	zaz	
546	hči	deček	n	n	n	n	g	g	nnnngg		spol	kontekst	
547	hči	fantek	n	n	n	n	g	g	nnnngg		spol	konetkst	
548	hči	fantič	n	n	n	n	g	g	nnnngg		spol	kontekst	
549	higieničen	nehigieničen	d	d	d	d	d	d	dddddd	je protipomenka			
550	hiter	počasen	d	d	d	d	d	d	dddddd	je protipomenka			
551	hiteti	zadržati	d	n	n	d	g	g	dnndgg		povrat		
552	hiteti	omejiti	d	n	n	n	g 	g	dnnng g		kontekst		
553	hitro	počasi	d	d	d	d	d	d	dddddd	je protipomenka			
554	hlad	vročina	d	d	d	g	d	d	dddgdd		kontekst		
555	hladen	naklonjen	d	d	d	d	g	d	ddddgd		večpom		
556	hladen	navdušen	d	d	g	d	g	d	ddgdgd		večpom	kontekst	
557	hladen	zanesenjaški	g	d	d	g	g	d	gddggd		večpom	kontekst	
558	hladiti	zdelati	n	n	n	n	n	n	nnnnnn	ni protipomenka			
559	hoditi	jahati	d	g	g	n	g	n	dggngn		kontekst		
560	hoditi	peljati	d	g	d	g	g	n	dgdggn		povrat	kontekst	
561	hoditi	voziti	d	g	d	g	g	n	dgdggn		povrat	kontekst	
562	horizontalen	navpičen	d	d	d	d	d	d	dddddd	je protipomenka			
563	hote	slučajno	d	d	g	d	d	d	ddgddd		kontekst		
564	hote	nehote	d	d	d	d	d	d	dddddd	je protipomenka			
565	hote	nehotoma	d	d	g	g	d	d	ddggdd		zaz		
566	hrabriti	oplašiti	g	d	d	g	d	d	gddgdd		zaz		
567	hrabriti	pobiti	n	n	d	n	g	d	nndngd		večpom	kontekst	
568	hrabrost	strah	d	d	d	d	d	d	dddddd	je protipomenka			
569	hraniti	izgubiti	d	d	g	g	d	d	ddggdd		nedov		
570	hraniti	zgubiti	d	d	g	n	d	d	ddgndd		nedov		
571	hudobija	krepost	n	g	g	d	g	d	nggdgd		zaz 	kontekst	
572	hudobija	dobro	d	d	g	g	g	d	ddgggd		zaz	konteskt	
573	hudobija	prijaznost	d	d	d	d	d	d	dddddd	je protipomenka			
574	hvaležno	nehvaležno	d	d	d	d	d	d	dddddd	je protipomenka			
575	hvaležnost	nehvaležnost	d	d	d	d	d	d	dddddd	je protipomenka			
576	ilegalen	praven	d	n	n	g	d	d	dnngdd		prevzeto	kontekst	
577	ilegalen	soden	g	n	n	n	d	d	gnnndd		prevzeto	kontekst	
578	ilegalen	zakonit	d	d	d	d	d	d	dddddd	je protipomenka			
579	imenovani	neimenovani	d	d	d	d	d	d	dddddd	je protipomenka			
580	imobilizirati	osvoboditi	d	d	g	g	g	d	ddgggd		prevzeto	kontekst	
581	imobilnost	premikanje	d	d	d	g	d	d	dddgdd		prevzeto	ne/dov. glag. tvor.	
582	import	izvoz	g	d	d	d	d	d	gddddd		prevzeto		
583	infamen	časten	g	d	n	g	g	d	gdnggd		prevzeto	kontekst	
584	infamen	ugleden	d	d	n	d	d	d	ddnddd		prevzeto	kontekst	
585	infamija	renome	d	d	n	g	g	d	ddnggd		zaz	kontekst	
586	infamija	sloves	d	d	n	n	g	d	ddnngd		prevzeto	kontekst	
587	infamija	ugled	d	d	n	d	d	d	ddnddd		prevzeto	kontekst	
588	inflacijski	deflacijski	d	d	d	d	d	d	dddddd	je protipomenka			
589	inflacijski	deflacionističen	g	n	n	g	d	d	gnngdd		zaz		
590	informiran	neinformiran	d	d	d	d	d	d	dddddd	je protipomenka			
591	informiran	neobveščen	d	d	d	d	d	d	dddddd	je protipomenka			
592	inkompetenca	usposobljenost	d	d	g	d	d	d	ddgddd		prevzeto		
593	inkongruenca	kongruenca	d	g	d	d	g	d	dgddgd		ne	zaz	
594	inozemec	prijatelj	d	n	n	n	g	g	dnnngg		zaz	kontekst	
595	inozemec	znanec	d	n	n	g	g	g	dnnggg		zaz	kontekst	
596	integrirati	segregirati	d	d	g	d	d	d	ddgddd		kontekst		
597	integriteta	nepopolnost	d	d	n	g	d	d	ddngdd		prevzeto	ne	
598	inteligenca	neumnost	d	d	d	g	d	d	dddgdd		/		
599	inteligenca	omejenost	d	d	d	g	d	d	dddgdd		večpom	kontekst	
600	inteligenten	neumen	d	d	d	g	d	d	dddgdd		/		
601	inteligenten	bedast	d	d	d	g	d	d	dddgdd		zaz		
602	inteligenten	omejen	d	d	d	g	d	d	dddgdd		zaz	večpom	
603	intervencija	nevmešavanje	d	d	d	d	d	d	dddddd	je protipomenka			
604	irealen	realen	d	d	d	d	d	d	dddddd	je protipomenka			
605	irelevanten	relevanten	d	d	d	d	d	d	dddddd	je protipomenka			
606	irelevanten	smotrn	d	d	n	g	d	d	ddngdd		kontekst		
607	irelevanten	sovisen	g	n	n	g	g	d	gnnggd		zaz	kontekst	
608	irelevanten	ustrezen	d	g	g	g	g	d	dggggd		kontekst		
609	irelevanten	zadeven	d	g	g	g	g	d	dggggd		kontekst		
610	irelevantnost	relevantnost	d	d	d	d	d	d	dddddd	je protipomenka			
611	iskren	dvoličen	d	d	d	d	d	d	dddddd	je protipomenka			
612	iskren	neiskren	d	d	d	d	d	d	dddddd	je protipomenka			
613	iskren	neodkritosrčen	d	d	n	d	d	d	ddnddd		ne		
614	isti	drug	d	d	d	d	d	d	dddddd	je protipomenka			
615	isti	drugačen	d	d	n	n	d	d	ddnndd		kontekst		
616	izbokel	vbokel	d	d	d	d	d	d	dddddd	je protipomenka			
617	izbrisati	zarisati	d	d	g	g	d	d	ddggdd		kontekst	večpom	
618	izbrisati	narisati	d	d	d	d	d	d	dddddd	je protipomenka			
619	izbrisati	zapisati	d	d	d	d	d	d	dddddd	je protipomenka			
620	izdelava	delaboracija	g	g	g	g	g	g	gggggg		zaz	kontekst	
621	izdelava	demontaža	d	d	n	d	g	d	ddndgd		prevzeto	kontekst	
622	izdihniti	inhalirati	g	d	g	d	d	d	gdgddd		prevzeto		
623	izdihniti	inspirirati	n	n	n	n	g	d	nnnngd		NI?		
624	izdihniti	vdihniti	d	d	d	d	d	d	dddddd	je protipomenka			
625	izginiti	biti	n	n	n	g	g	g	nnnggg		pš	kontekst	
626	izginiti	pojaviti	d	d	d	d	d	g	dddddg		povrat		
627	izginiti	zdeti	n	n	n	n	n	n	nnnnnn	ni protipomenka			
628	izginti	pojaviti	d	d	d	g	d	g	dddgdg		zatipk	povrat	
629	izguba	profit	d	d	d	d	d	d	dddddd	je protipomenka			
630	izguba	zaslužek	d	d	d	d	d	d	dddddd	je protipomenka			
631	izgubiti	pridobiti	d	d	d	d	d	d	dddddd	je protipomenka			
632	izgubiti	osvojiti	d	d	d	d	d	d	dddddd	je protipomenka			
633	izgubiti	imeti	n	n	n	g	g	d	nnnggd		nedov	pš	
634	izgubiti	obdržati	d	d	d	d	g	d	ddddgd		kontekst		
635	izgubiti	ohraniti	d	d	d	d	d	d	dddddd	je protipomenka			
636	izjemoma	navadno	d	d	d	d	d	d	dddddd	je protipomenka			
637	izjemoma	normalno	d	d	n	d	d	d	ddnddd		kontekst		
638	izjemoma	običajno	d	d	d	d	d	d	dddddd	je protipomenka			
639	izjemoma	redno	d	d	d	d	d	d	dddddd	je protipomenka			
640	izjemoma	vsakdanje	d	n	g	d	d	d	dngddd		kontekst		
641	izključen	inkluziven	d	n	n	g	d	d	dnngdd		prevzeto	kontekst	
642	izključen	obsegajoč	d	g	n	g	g	g	dgnggg		kontekst		
643	izključen	vključujoč	n	n	n	g	d	g	nnngdg		kontekst		
644	izključen	všteven	d	d	n	g	g	d	ddnggd		kontekst		
645	izključenost	vključenost	d	d	d	d	d	d	dddddd	je protipomenka			
646	izključiti	vključiti	d	d	d	d	d	d	dddddd	je protipomenka			
647	izključno	deloma	d	d	g	d	g	g	ddgdgg		stop		
648	izkoriščen	neizkoriščen	d	d	d	d	d	d	dddddd	je protipomenka			
649	izkoriščena	neizkoriščena	d	d	d	g	d	d	dddgdd		lema		
650	izkoristek	neuspešnost	g	n	n	g	g	g	gnnggg		ne	kontekst	
651	izkrcanje	vkrcanje	d	d	d	d	d	d	dddddd	je protipomenka			
652	izkrcanje	vkrcavanje	n	n	g	g	d	d	nnggdd		ne/dov. glag. tvor.		
653	izkrcati	vkrcati	d	d	d	d	d	d	dddddd	je protipomenka			
654	izkušen	golobrad	g	n	n	d	g	d	gnndgd		zaz	kontekst	
655	izkušen	neizkušen	d	d	d	d	d	d	dddddd	je protipomenka			
656	izkušen	nevajen	d	d	d	d	d	d	dddddd	je protipomenka			
657	izkušen	nevešč	d	d	n	d	d	d	ddnddd		ne		
658	izkušen	zelen	g	g	d	d	d	d	ggdddd		večpom		
659	izkušenost	neizkušenost	d	d	d	d	d	d	dddddd	je protipomenka			
660	izkušenost	nevajenost	d	d	d	d	d	d	dddddd	je protipomenka			
661	izkustven	teoretičen	d	d	d	d	d	d	dddddd	je protipomenka			
662	izkustven	teoretski	d	d	n	d	d	d	ddnddd		/		
663	izlivanje	pritekanje	d	d	d	d	d	d	dddddd	je protipomenka			
664	izmučiti	poživiti	d	d	d	g	g	d	dddggd		kontekst		
665	izobilje	maloštevilnost	d	g	n	d	g	d	dgndgd		kontekst		
666	izobilje	pičlost	d	d	d	d	d	d	dddddd	je protipomenka			
667	izobražen	neuk	d	d	d	d	d	d	dddddd	je protipomenka			
668	izpolnjevanje	neizpolnjevanje	d	d	d	d	d	d	dddddd	je protipomenka			
669	izposojevalec	posojevalec	d	d	g	d	d	d	ddgddd		večpom		
670	izposojevalec	upnik	g	d	g	d	g	d	gdgdgd		večpom		
671	izpostaviti	pokriti	d	n	g	g	g	d	dngggd		kontekst		
672	izpostaviti	pokrivati	d	n	n	g	g	d	dnnggd		nedov	kontekst	
673	izpostaviti	prekriti	d	n	g	g	d	d	dnggdd		kontekst		
674	izprazniti	napolniti	d	d	d	d	d	d	dddddd	je protipomenka			
675	izprazniti	zapolniti	d	d	d	d	d	d	dddddd	je protipomenka			
676	izpreči	zapreči	d	d	d	d	d	d	dddddd	je protipomenka			
677	izpreči	razpreči	d	g	g	d	g	d	dggdgd		kontekst		
678	izpustiti	omejiti	d	n	n	g	g	d	dnnggd		kontekst		
679	izpustiti	zadržati	d	d	d	g	d	d	dddgdd		kontekst		
680	izrazljiv	nedopovedljiv	g	g	n	d	n	d	ggndnd		zaz	kontekst	
681	izrazljiv	neizrazljiv	d	d	d	d	d	d	dddddd	je protipomenka			
682	izrazljiv	neizrekljiv	d	g	d	d	g	d	dgddgd		ne	kontekst	
683	izreden	običajen	d	d	d	d	d	d	dddddd	je protipomenka			
684	izredno	dostikrat	d	n	n	g	g	d	dnnggd		večpom		
685	izredno	mnogokdaj	d	n	n	g	g	d	dnnggd		večpom		
686	izredno	mnogokrat	d	n	n	g	g	d	dnnggd		večpom		
687	izredno	obilokrat	g	n	n	g	g	d	gnnggd		večpom		
688	izredno	pogost	n	n	n	g	g	n	nnnggn		bv	večpom	
689	izredno	pogosto	d	d	d	d	g	d	ddddgd		večpom		
690	izredno	velikokrat	g	n	n	g	g	d	gnnggd		večpom		
691	izredno	često	d	d	n	g	g	d	ddnggd		zaz	večpom	
692	izredno	čestokrat	g	n	n	g	g	d	gnnggd		zaz	večpom	
693	izredno	normalno	d	d	d	d	d	d	dddddd	je protipomenka			
694	izredno	običajno	d	d	d	d	d	d	dddddd	je protipomenka			
695	izredno	obče	d	n	n	g	g	d	dnnggd		zaz	večpom	
696	izredno	redno	d	d	d	d	d	d	dddddd	je protipomenka			
697	izredno	vobče	g	n	n	g	g	d	gnnggd		zaz	večpom	
698	izredno	vsakdanje	d	d	d	d	d	d	dddddd	je protipomenka			
699	izstopiti	vstopiti	d	d	d	d	d	d	dddddd	je protipomenka			
700	izterljiv	neizterljiv	d	g	d	d	d	d	dgdddd		ne		
701	iztrezniti	navdušiti	n	g	g	g	g	d	nggggd		kontekst		
702	iztrezniti	očarati	n	g	n	g	g	d	ngnggd		kontekst		
703	iztrezniti	prevzeti	n	g	n	g	g	d	ngnggd		kontekst		
704	izurjen	neizkušen	d	d	n	d	g	d	ddndgd		ne	kontekst	
705	izurjen	neizurjen	d	d	d	d	d	d	dddddd	je protipomenka			
706	izurjen	neizučen	d	d	d	d	d	d	dddddd	je protipomenka			
707	izvažati	uvžati	d	d	d	g	d	d	dddgdd		zatipk		
708	izvedljivo	neizvedljivo	d	d	d	d	d	d	dddddd	je protipomenka			
709	izviren	nedomiseln	d	d	d	d	d	d	dddddd	je protipomenka			
710	ja	ne	d	d	d	d	d	d	dddddd	je protipomenka			
711	jahati	pešačiti	d	g	g	g	g	g	dggggg		kontekst		
712	jalovost	rodovitnost	d	d	d	d	d	d	dddddd	je protipomenka			
713	jasen	oblačen	d	d	d	d	d	d	dddddd	je protipomenka			
714	jasen	neopazen	d	n	g	g	g	d	dngggd		ne	večpom	
715	jasen	prikrit	d	n	g	d	d	d	dngddd		večpom		
716	jasen	nejasen	d	d	d	d	d	d	dddddd	je protipomenka			
717	jasno	nejasno	d	d	d	d	d	d	dddddd	je protipomenka			
718	javen	zaseben	d	d	d	d	d	d	dddddd	je protipomenka			
719	jedrnat	dolgovezen	d	d	d	d	d	d	dddddd	je protipomenka			
720	jedrnatost	dolgoveznost	d	d	d	d	d	d	dddddd	je protipomenka			
721	jedrnatost	gostobesednost	d	d	d	d	d	d	dddddd	je protipomenka			
722	kakovosten	kvantitativen	g	n	d	g	g	g	gndggg		kontekst	prevzeto	
723	kam	nekam	d	n	n	g	g	n	dnnggn		ne	kontekst	
724	kandidat	protikandidat	d	d	n	d	d	d	ddnddd		kvazi	kontekst	
725	kapitalizem	socializem	d	n	d	g	g	d	dndggd		stop	kontekst	
726	kateri	nekateri	d	n	n	d	d	n	dnnddn		kontekst		
727	klanec	strmina	d	n	n	n	n	d	dnnnnd		NI		
728	klanec	spust	n	n	d	g	d	d	nndgdd		kontekst		
729	klanec	klanec	n	n	n	n	n	n	nnnnnn	ni protipomenka			
